ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_jja24
2024,06,17305,1,0030,1,1,202406173051003011,1,1,1,1,2, ,2,41,1,1,28,5,1983,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2,7, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,9,4, , , , , , , , , , , , ,1,419.004712819398
2024,06,17305,1,0031,1,1,202406173051003111,1,1,1,1,2, ,2,43,1,1,29,11,1980,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,1,1,13,5,2,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,2,2,1,1,2, , , , , , , , , , , , ,1,419.004712819398
2024,06,17305,1,0031,1,1,202406173051003112,1,2,3,1,2, ,2,20,2,2,23,12,2003,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,1,1,13,5,2,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,1,1,2, , , , , , , , , , , , ,1,408.173951272564
2024,06,17305,1,0031,1,1,202406173051003113,1,3,3,1,2, ,2,17,3,3,23,9,2006,1, , , , , , , , , , , , , , , ,7515,1079,3,5,3,2,1,2,5,0,0,0,0,0,0,5, ,5,1, ,2, ,2,2,2,25, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,1,1,1,108, , , , , , , , ,108,108,108,1,408.173951272564
2024,06,17305,1,0031,1,1,202406173051003115,1,5,11,1,2, ,2,20,5,5,23,3,2004,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,1,1,13,5,2,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,1,1,2, , , , , , , , , , , , ,1,408.173951272564
2024,06,17305,1,0032,1,1,202406173051003211,1,1,1,1,2, ,2,37,1,1,17,8,1986,1, , , , , , , , , , , , , , , ,5212,4752,2, ,2,2,1,3,11,11,11,11,11,11,11,77, ,77,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,2,2,10,7,1, , ,1100, , , , , , ,1100,1100,1100,1,419.004712819398
2024,06,17305,1,0032,1,1,202406173051003212,1,2,2,1,2, ,1,42,2,2,25,3,1982,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,1,3,0,8,8,8,8,8,4,44, ,44,1, ,2, ,2,1,2,250, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,1,1,1,1083, , , , , , , , ,1083,1083,1083,1,410.379630852753
2024,06,17305,1,0032,1,1,202406173051003213,1,3,3,1,2, ,2,17,3,3,5,3,2007,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2, ,5223,4752,4, ,2,2,1,3,5,11,11,11,11,11,11,71, ,71,1, ,1,1,1, , , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , , , , , , , , ,1,408.173951272564
2024,06,17305,1,0032,1,1,202406173051003216,1,6,8,1,2, ,2,17,6,6,5,2,2007,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2, ,5223,4752,4, ,2,2,1,3,11,11,11,11,11,11,11,77, ,77,1, ,2, ,2, , , , , , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , , , , , , , , ,1,408.173951272564
2024,06,17305,1,0033,1,1,202406173051003311,1,1,1,1,2, ,2,42,1,1,11,8,1981,1, , , , , , , , , , , , , , , ,4416,1410,3,5,2,1,1,20,0,10,10,10,10,10,6,56, ,56,1, ,2, ,2,2,2,500, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,2165, , , , , , , , ,2165,2165,2165,1,419.004712819398
2024,06,17305,1,0033,1,1,202406173051003312,1,2,3,1,2, ,2,24,2,2,21,1,2000,1, , , , , , , , , , , , , , , ,5312,8510,3,2, , ,5,9998,0,5,5,5,5,5,0,25, ,25,1, ,1,1,1,2,4,500, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,10,3, ,2,2,2,2,2,2,10,1,1,500, , , , , , , , ,500,500,500,1,408.173951272564
2024,06,17305,1,0033,1,1,202406173051003313,1,3,3,1,2, ,2,16,3,3,15,9,2007,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2, ,9111,9700,6, , , ,1,1,0,0,0,0,0,2,0,2, ,2,1, ,1,2,2,2,2,30, , , , , , , , , , , , , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,1,130, , , , , , , , ,130,130,130,1,408.173951272564
2024,06,17471,1,0062,1,1,202406174711006211,1,1,1,1,2, ,1,59,1,1,10,11,1964,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,1, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,10,7,3, , , , , , , , , , , , ,1,632.782840894893
2024,06,17471,1,0062,1,1,202406174711006212,1,2,2,1,2, ,2,54,2,2,28,1,1970,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,1,1,7, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,1,2,2,2,2,10,7,3, , , , , , , , , , , , ,1,553.826232500078
2024,06,17471,1,0062,2,1,202406174711006221,1,1,1,1,2, ,1,34,1,1,22,11,1989,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,1,3,0,8,8,8,8,8,8,48, ,48,1, ,1,1,1,2,2,350, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4, ,6,2,2,2,2,2,2,10,7,1,1516, , , , , , , , ,1516,1516,1516,1,683.748681755646
2024,06,17471,1,0062,2,1,202406174711006222,1,2,2,1,2, ,2,36,2,2,9,1,1988,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,1,1,13,2,3,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,2, , , , , , , , , , , , ,1,698.119249837871
2024,06,17471,1,0062,2,1,202406174711006223,1,3,3,1,2, ,2,16,3,3,3,7,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,2,5, , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,680.07371742519
2024,06,17471,1,0066,1,1,202406174711006611,1,1,1,1,2, ,2,68,1,1,15,10,1955,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2,3, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,3, ,2,2,2,2,2,2,10,1,4, , , , , , , , , , , , ,1,553.826232500078
2024,06,17471,1,0066,1,1,202406174711006612,1,2,3,1,2, ,2,32,2,2,26,7,1991,1, , , , , , , , , , , , , , , ,5212,4771,3,5,1, ,3,60,0,10,10,10,10,10,0,50, ,50,1, ,2, ,2,2,3,750, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,1500, , , , , , , ,250,1500,1500,1750,1,698.119249837871
2024,06,17471,1,0066,1,1,202406174711006613,1,3,5,1,2, ,1,14,3,3,25,4,2010,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,5, , ,2,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,2, ,2,2,2,2,2,2,10,9,4, , , , , , , , , , , , ,1,612.563270854801
2024,06,17471,1,0067,1,1,202406174711006711,1,1,1,1,2, ,2,32,1,1,14,6,1991,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,1,2,13,2,2,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , , , ,1,698.119249837871
2024,06,17471,1,0071,1,1,202406174711007111,1,1,1,1,2, ,1,60,1,1,18,5,1964,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2, ,5223,4711,4, ,3,2,1,2,6,8,8,8,8,8,8,54, ,54,1, ,2, ,2, , , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , , , , , , , , ,1,632.782840894893
2024,06,17471,1,0071,1,1,202406174711007112,1,2,2,1,2, ,2,62,2,2,3,4,1962,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,0,0,0,8,8,8,8,32,16,48,1, ,2, ,2,2,2,200, , , , , ,300,150, , , , , , , ,1,1,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,866, , , , ,300, ,150, ,1316,866,1316,1,553.826232500078
2024,06,17479,1,0096,1,1,202406174791009611,1,1,1,1,2, ,2,55,1,1,9,5,1969,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2, ,9629,9609,2, ,3,2,1,1,0,8,8,8,8,8,0,40,10,50,1, ,2, ,2,2, , , , , , , ,200, , , , , , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,7,1, , ,300, , ,200, , , ,500,300,500,1,412.089650935592
2024,06,17479,1,0096,1,1,202406174791009612,1,2,2,1,2, ,1,57,2,2,2,4,1967,1, , , , , , , , , , , , , , , ,4321,1410,3,5,1, ,3,60,0,11,11,11,11,11,7,62, ,62,1, ,1,1,1,2,3,750, , , , , , , , , , , , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,1500, , , , , , , , ,1500,1500,1500,1,470.839488489508
2024,06,17479,1,0096,1,1,202406174791009613,1,3,3,1,2, ,1,32,3,3,15,6,1991,1, , , , , , , , , , , , , , , ,5414,8010,3,4,1, ,5,600,0,0,12,12,12,12,12,60, ,60,1, ,2, ,2,2,4,1800, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,1,1800, , , , , , , ,116,1800,1800,1916,1,508.762025085757
2024,06,17479,1,0096,1,1,202406174791009614,1,4,3,1,2, ,1,20,4,4,29,3,2004,1, , , , , , , , , , , , , , , ,3439,9000,3,5,2,2,1,5,0,0,0,0,0,0,2,2,5,7,1, ,1,1,1,1,2,30, , , , , ,80, , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,130, , , , ,80, , , ,210,130,210,1,455.79456090947
2024,06,17479,1,0096,1,1,202406174791009615,1,5,3,1,2, ,1,20,5,5,29,3,2004,1, , , , , , , , , , , , , , , ,5414,8010,3,4,1, ,4,300,0,11,11,11,11,11,10,65, ,65,1, ,2, ,2,2,3,650, , , , , , , , , , , , , , ,2,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1,1300, , , , , , , ,162,1300,1300,1462,1,455.79456090947
2024,06,17479,1,0097,1,1,202406174791009711,1,1,1,1,2, ,2,55,1,1,28,2,1969,1, , , , , , , , , , , , , , , ,3314,9601,3,5,1, ,1,5,10,10,0,10,10,10,10,60, ,60,1, ,2, ,2,2,4,1300, , , , , , , , , , , , , , ,2,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,1300, , , , , , , ,276,1300,1300,1576,1,412.089650935592
2024,06,17479,1,0097,1,1,202406174791009712,1,2,3,1,2, ,1,25,2,2,8,5,1999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,2,5, , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,508.762025085757
2024,06,17479,1,0097,1,1,202406174791009713,1,3,3,1,2, ,2,18,3,3,15,11,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,1,1,13,4,4,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , , , ,1,506.027566731731
2024,06,17479,1,0100,1,1,202406174791010011,1,1,1,1,2, ,1,32,1,1,24,10,1991,1, , , , , , , , , , , , , , , ,4417,8411,3,2, , ,5,9000,0,8,8,8,8,8,2,42,10,52,1, ,1,2,2,2,4,3500, , , , , ,700, , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,3, ,2,2,2,2,2,2,10,7,1,3500, , , , ,700, , , ,4200,3500,4200,1,508.762025085757
2024,06,17479,1,0100,1,1,202406174791010012,1,2,2,1,2, ,2,30,2,2,18,12,1993,1, , , , , , , , , , , , , , , ,4417,8411,3,2, , ,5,9000,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,2500, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,6, ,2,2,2,2,2,2,10,3,1,2500, , , , , , , , ,2500,2500,2500,1,519.454841780296
2024,06,17479,1,0102,1,1,202406174791010211,1,1,1,1,2, ,2,40,1,1,24,11,1983,1, , , , , , , , , , , , , , , ,9412,5610,3,5,2,2,1,3,0,6,6,6,6,6,6,36, ,36,1, ,2, ,2,1,2,150,60, , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,1,650,260, , , , , , , ,910,910,910,1,519.454841780296
2024,06,17479,1,0102,1,1,202406174791010212,1,2,3,1,2, ,1,16,2,2,22,5,2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,5, , ,2,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,9,4, , , , , , , , , , , , ,1,455.79456090947
2024,06,17496,1,0082,1,1,202406174961008211,1,1,1,1,2, ,1,90,1,2,19,5,1934,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2,2,3, , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,11,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,406.957397628282
2024,06,17496,1,0082,1,1,202406174961008212,1,2,3,1,2, ,1,66,2,2,13,8,1957,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,2,2,6, , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,406.957397628282
2024,06,17496,1,0087,1,1,202406174961008712,1,2,2,1,2, ,2,53,2,2,27,3,1971,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,7, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,356.178561981495
2024,06,17496,1,0087,1,1,202406174961008715,1,5,3,1,2, ,1,20,5,5,15,4,2004,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,5, , ,2,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,393.953720738053
2024,06,24691,1,0057,1,1,202406246911005711,1,1,1,1,2, ,2,69,1,1,13,2,1955,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2,7, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,959.405307777614
2024,06,24691,1,0057,1,1,202406246911005712,1,2,5,1,2, ,2,22,2,2,28,12,2001,1, , , , , , , , , , , , , , , ,3432,7410,3,5,1, ,1,4,0,10,10,10,10,10,5,55,6,61,1, ,1,2,2,2,2,350, , , , , ,400, , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,1516, , , , ,400, , ,8,1916,1516,1924,1,1178.10658991796
2024,06,24691,1,0145,1,1,202406246911014511,1,1,1,1,2, ,2,35,1,1,14,11,1988,1, , , , , , , , , , , , , , , ,3313,8521,3,5,1, ,3,89,0,8,8,8,8,8,0,40,5,45,1, ,2, ,2,2,4,1800, , , , , ,500, , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,6,1,1800, , , , ,500, , ,300,2300,1800,2600,1,1209.36726079707
2024,06,24691,1,0145,1,1,202406246911014512,1,2,3,1,2, ,2,16,2,1,26,12,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,1,5, , ,2,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1178.10658991796
2024,06,24764,1,0009,1,1,202406247641000911,1,1,1,1,2, ,1,44,1,1,6,11,1979,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2,1, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1231.48264664252
2024,06,24764,1,0009,1,1,202406247641000912,1,2,6,1,2, ,2,78,2,1,6,6,1945,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,3, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,997.482573316305
2024,06,24764,1,0014,1,1,202406247641001411,1,1,1,1,2, ,1,24,1,1,2,1,2000,1, , , , , , , , , , , , , , , ,2142,4100,3,5,1, ,2,25,0,8,8,8,8,8,0,40,15,55,1, ,2, ,2,2,4,1800, , , ,1200, , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1,1800, , , ,1200, , , ,150,3000,1800,3150,1,1103.27238378188
2024,06,24764,1,0014,1,1,202406247641001412,1,2,7,1,2, ,1,18,2,2,13,8,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,5, , ,1,5,2, ,2, ,2, ,2, ,1,5,1,4,2, ,2, ,2, ,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,1103.27238378188
2024,06,4681901,1,0014,1,1,20240646819011001411,1,1,1,1,2, ,1,28,1,1,17,12,1995,1, , , , , , , , , , , , , , , ,7211,2599,3,5,1, ,1,5,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,2500, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,8,1, ,2,2,2,2,2,2,10,7,1,2500, , , , , , , ,324,2500,2500,2824,1,781.224545950255
2024,06,4681901,1,0014,1,1,20240646819011001412,1,2,2,1,2, ,2,30,2,2,15,5,1994,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,5, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,1,4, , , , , , , , , , , , ,1,797.643795924175
2024,06,4681901,1,0016,1,1,20240646819011001611,1,1,1,1,2, ,1,39,1,1,9,10,1984,1, , , , , , , , , , , , , , , ,8142,2013,3,5,1, ,1,5,0,8,8,8,8,8,8,48, ,48,1, ,1,1,1,1,4,1050, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,5,2, ,2,2,2,2,2,2,10,7,1,1050, , , , , , , ,264,1050,1050,1314,1,781.224545950255
2024,06,4681901,1,0016,1,1,20240646819011001612,1,2,2,1,2, ,2,41,2,2,14,6,1982,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,2, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,3, , , , , , , , , , , , ,1,797.643795924175
2024,06,4681901,1,0016,1,1,20240646819011001613,1,3,3,1,2, ,2,15,3,3,9,9,2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,1,5, , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,777.025675199862
2024,06,4681901,1,0017,1,1,20240646819011001711,1,1,1,1,2, ,1,67,1,1,30,9,1956,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,13,5,1,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1, , ,2,2,2,2,2,2,1,1,2, , , , , , , , , , , , ,1,722.992966207856
2024,06,4681901,1,0017,1,1,20240646819011001712,1,2,2,1,2, ,2,75,2,2,5,9,1948,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1, , ,2,2,2,2,2,2,1,1,4, , , , , , , , , , , , ,1,632.780228415617
2024,06,4681901,1,0067,1,1,20240646819011006711,1,1,1,1,2, ,1,44,1,1,1,7,1979,1, , , , , , , , , , , , , , , ,8321,4922,2, ,3,2,1,1,10,10,10,10,10,10,10,70, ,70,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,1930, , , , , , ,1930,1930,1930,1,781.224545950255
2024,06,4681901,1,0067,1,1,20240646819011006712,1,2,2,1,2, ,2,42,2,2,28,8,1981,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,1,1,13,5,3,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,2, , , , , , , , , , , , ,1,797.643795924175
